frame_index,timestamp_s,camera_center_x_px,path_center_x_px,lateral_error,heading_error,angular_z_rad_s,linear_x_m_s,confidence,instruction,left_boundary_detected,right_boundary_detected,control_source,reference_filename,reference_match_index,reference_latitude,reference_longitude,reference_heading_deg,reference_vpr_score,reference_alignment_error,route_turn_error,reference_confidence
618,10.310,640.00,633.64,0.097434,-0.107372,0.000000,0.250000,0.998982,GO STRAIGHT,1,1,STREETVIEW_DB,streetview_0009.jpg,9,50.10225304,14.39250912,310.69,28.0372,0.026089,0.000000,0.790650
624,10.410,640.00,619.33,0.040750,-0.073043,0.000000,0.250000,0.963000,GO STRAIGHT,1,1,STREETVIEW_DB,streetview_0009.jpg,9,50.10225304,14.39250912,310.69,28.0372,-0.004409,0.000000,0.790650
630,10.511,640.00,612.69,0.012745,-0.055422,0.000000,0.250000,0.957269,GO STRAIGHT,1,1,STREETVIEW_DB,streetview_0009.jpg,9,50.10225304,14.39250912,310.69,28.0372,-0.019246,0.000000,0.790650
636,10.611,640.00,629.12,0.080813,-0.097808,0.000000,0.250000,0.977248,GO STRAIGHT,1,1,STREETVIEW_DB,streetview_0009.jpg,9,50.10225304,14.39250912,310.69,28.0372,0.016970,0.000000,0.790650
642,10.711,640.00,637.41,0.129028,-0.133069,0.000000,0.250000,0.984623,GO STRAIGHT,1,1,STREETVIEW_DB,streetview_0009.jpg,9,50.10225304,14.39250912,310.69,28.0372,0.040790,0.000000,0.790650
648,10.811,640.00,625.50,0.054539,-0.077200,0.000000,0.250000,0.967624,GO STRAIGHT,1,1,STREETVIEW_DB,streetview_0009.jpg,9,50.10225304,14.39250912,310.69,28.0372,0.004478,0.000000,0.790650
654,10.911,640.00,614.03,0.008557,-0.049142,0.000000,0.250000,0.971027,GO STRAIGHT,1,1,STREETVIEW_DB,streetview_0009.jpg,9,50.10225304,14.39250912,310.69,28.0372,-0.020189,0.000000,0.790650
660,11.011,640.00,605.46,-0.024691,-0.029280,0.000000,0.250000,0.982642,GO STRAIGHT,1,1,STREETVIEW_DB,streetview_0009.jpg,9,50.10225304,14.39250912,310.69,28.0372,-0.038173,0.000000,0.790650
666,11.111,640.00,596.96,-0.046001,-0.021245,0.010873,0.239483,0.982462,GO STRAIGHT,1,1,STREETVIEW_DB,streetview_0009.jpg,9,50.10225304,14.39250912,310.69,28.0372,-0.051343,0.000000,0.790650
672,11.211,640.00,611.23,0.026092,-0.071050,0.007829,0.250000,1.000000,GO STRAIGHT,1,1,STREETVIEW_DB,streetview_0009.jpg,9,50.10225304,14.39250912,310.69,28.0372,-0.014705,0.000000,0.790650
